Index,Verb.IMPF,VerbClass,Spanish,Example,Verb.IRR,Verb.PFV
272,ñíñu adv toda la noche Ñiñu cuii tsahan yu tsinyehe yu nu tsicoo yaa,ve,NA,NA,escuela can; ta vityin cuñí xaan yu cusu yu. Fui toda la noche al programa de la escuela,y ahora quiero dormir.
273,ñíhí yo,vt,"rascamos, rasguñamos",Na cuví tiin yo mistu can cuví ñihi ti tsi yo. No podemos agarrar a ese gato porque puede rasguñarnos.,cua ñihi yo,ñihi yo
274,ñúhú yó 1.,vi,estamos adentro (solamente en futuro),"Cua cubun ñi tsitsi vehe. Van a estar adentro de la casa. 2. vt nos vestimos (pantalones, calzones) Yuhu tsihin ra luhlu cuhva yu ñuhú ndi tutsaha tsaa. Yo y mi hermanito nos vestimos con calzones nuevos.",cuá cúhun yo,ñuhu yo
274,ñúhú yó 1. vi estamos adentro (solamente en futuro) Cua cubun ñi tsitsi vehe. Van a estar adentro de la casa. 2.,vt,"nos vestimos (pantalones, calzones)",Yuhu tsihin ra luhlu cuhva yu ñuhú ndi tutsaha tsaa. Yo y mi hermanito nos vestimos con calzones nuevos.,cuá cúhun yo,ñuhu yo
275,nducuhún iñi yo,vt,NA,NA,NA,recordamos
276,ñúhú iñi yo 1.,vt,NA,"nos acordamos, recordamos (todavía) ¿Nuhú iñi un cuhva caá itu yo tsa tsicoo nda yucu tsa naha? ¿Te acuerdas cómo estaba nuestra milpa que sembramos allí en el cerro hace años? 2. vi llegamos a la edad de pensar, ya estamos grandecitos ¿Nacuvi tacan nacuú un, ta ra tsa ñuhu iñi cuví un? ¿Por qué haces eso si ya estás grandecito?",cuá cúhún iñi yo,ñúhu iñi yo; el tiempo presente usualmente lleva vatsí viene
276,"ñúhú iñi yo 1. vt nos acordamos, recordamos (todavía) ¿Nuhú iñi un cuhva caá itu yo tsa tsicoo nda yucu tsa naha? ¿Te acuerdas cómo estaba nuestra milpa que sembramos allí en el cerro hace años? 2.",vi,NA,"llegamos a la edad de pensar, ya estamos grandecitos ¿Nacuvi tacan nacuú un, ta ra tsa ñuhu iñi cuví un? ¿Por qué haces eso si ya estás grandecito?",cuá cúhún iñi yo,ñúhu iñi yo; el tiempo presente usualmente lleva vatsí viene
277,ñúhú sehe ña,vi,NA,está embarazada,cuá cúhun sehe ña,ñuhu sehe ña
278,ñúú yó,vt,revolvemos,"Tatu ñuú yo nduxi, cua ndundava tsi ta cuvi quihvi tsi tsitsi yutun ticoho can. Si revolvemos el melado, se pone duro y puede vaciarse en los moldes.",cua ñuu yo,ñuu yo
279,quéé yó,vi,salimos (a propósito),"Ndi tsaa cuii ñi yu, nañi quee yu nu tsi jahá tyiñu yu. Acabo de llegar, hace ratito salí del trabajo.",cuá quee yo,quee yo
280,"quéé ihñí tsí, quéhfí tsí",vi,"se zafa, se sale (sin intención)","Tsa quehñi ndaha yu quiyi can ta canacava can tsaha tahvi can. Cuando el cántaro se me zafó de la mano y cayó, fue cuando se quebró.",cua quee ihñi tsi,quee ihñi tsi
281,"quícu yo, quécu yo",vt,cosemos,"Quicú yo jahma tun ndata tsi. Si la ropa está rota, la cosemos.",cuá quicu yo,quicu yo
282,quíhín yó,vt,NA,NA,1. tomamos,"obtenemos, agarramos Quihin libru nyií nu mesa can, quitsi ndaca un tsi yu. Toma ese libro que está en la mesa y tráemelo. 2. traemos, llevamos Cahan tsihin ñahnu ican na cuquihbin ña intuhun"
283,"quíhín nyáa yo, quínyáa yo",vt,"quitamos, apropiamos","Ra Litu, yañi yu, cuñí xaan ra quihin nyaa ra vehe yu, soco ña cua cuhva yu. Mi hermano Hipólito quiere quitarme mi casa, pero no se la voy a dejar.",cuá quihin nyaá yo,quihin nyaa yo
284,quítá yo,vi,NA,NA,1. salimos Javaha yu iin vehe tsihin ¡in ndaca,ta vaha xaan quita vehe. Hice una casa con un pilar y quedó muy bien.
285,quítátú yo,vi,descansamos,Ra ñimaahna tsaá ra nu nyaá yo tun quitatú yo. El sueño llega cuando descansamos.,cuá quitatú yo,quitatú yo
286,quítúvi yo,vi,aparecemos,Tsa yatyin cuii cua quituvi niñi tsaa. Ya se acerca el tiempo de que aparezcan las mazorcas nuevas.,cuá quituvi yo,quituvi yo Sinón natuvi yo
287,quixí yo,vi,NA,NA,NA,dormimos Cuñi quixí xaan yu ta nacanda yu
288,quíhvi yo,vt,entramos,Ra luhlu quihvi ra escuela utsa cuiya ñi ra. El muchacho entró a la escuela cuando tenía solamente siete años.,cuá quihvi yo,quihvi yo
289,quíhvi ñuhu yo,vi,somos enterrados,Icu quihvi ñuhu ña tsahnu can nundaa cumi sandu. Ayer fue enterrada la difunta en el panteón.,cua quihvi ñuhu yo,quihvi ñuhu yo
290,quíhvi xeehé yo,vi,nos escondemos,"Cuví quihvi xeehe yo tsitsi cuhu tyin cuhu tsitsa cuví tsi. Podemos escondernos en el monte, porque está muy tupido.",cua quihvi xeehe yo,quihvi xeehe yo
291,quítí yó,vt,"regamos, rociamos","Cua quiti yu nuñi nuquehe tyin cua catsi ndivi jana yu ta catsi ndihi tucu nu colo. Voy a regar maíz allá afuera, porque van a comer las gallinas y también el guajolote.",cuá quiti yó,quiti yó
292,sámá yó,vt,NA,NA,NA,cambiamos
293,sámá yó,vt,"edificamos, construimos","Sama yu vehe luhlu ihya tyin nduve vehe ndi. Construí esta casita, porque no teníamos casa.",cuá sama yo,sama yo
294,caahán savi,vi,NA,NA,NA,está tronando
295,cuún savi,vi,NA,NA,NA,llueve
296,sii s la saliva tiví sii yo,vi,NA,NA,escupimos sii (st) adv 1. bonito Sii xaan caá sehe un,"cuhva luxu cuiso yu. Tu hijo es muy bonito; dámelo para cargarlo un poco. 2. alegre Tsa nacahan savi sii xaan cuñi nyivi tyin tsa cua cuun savi. La gente se alegra cuando truena, porque ya va a llover."
297,cusií iñi yo,vi,NA,NA,NA,nos alegramos
298,"sii íñi yo, tsist íñi y0",vi,NA,NA,NA,nos gusta Sií iñi yo cuañi yo yaa. Nos gusta bailar.
299,siihf adj hembra Nyehe yu intuhun isu siihi tsihin sehe ti nañi. Hace rato,vi,NA,NA,NA,una cierva con su cría. (lit: venado hembra)
300,jasiín yo,vi,NA,NA,NA,nos apartamos
301,tsisocó yo,vi,NA,NA,NA,temenos hambre
302,súhú yó,vt,robamos,"Cuaha xaan ra suhu iyó vityin; yuuhví xaan yu coto suhu ra xuhun yu. Ahora hay muchos ladrones; tengo mucho miedo, no sea que se roben mi dinero.",cua súhu yó,súhu yó
303,sútyá yó,vi,nadamos,"Tu sutyá yo nu ndutya, cuahán yo nu cunu. Cuando nadamos en el agua, vamos a donde está hondo.",cuá sútya yó,sútya yó
304,taahán yo 1.,vt,NA,NA,topamos,"encontramos Tsa vatsí yu nañi tahan yu tsi tundutya yu. Cuando venía, hace ratito, topé con mi padrino. 2. vi mos pasa Nyoo cua nasoco tsi un nu cuahán un ta nduve tsa tahan un. Dios te bendecirá a donde vayas y no te pasará nada. 3. vi alcanzamos Tsa cuahán ña ityi nuu, maa tyin cua tahan maa yu tsi ña. Ya se fue ella adelante pero de todos modos le alcanzó. 4. taahán tsi vi nos toca Ityaan taahán tsi tyahvi yo cuenda ndutya. Mañana nos toca pagar el agua."
304,"taahán yo 1. vt topamos, encontramos Tsa vatsí yu nañi tahan yu tsi tundutya yu. Cuando venía, hace ratito, topé con mi padrino. 2.",vi,NA,NA,mos pasa Nyoo cua nasoco tsi un nu cuahán un ta nduve tsa tahan un. Dios te bendecirá a donde vayas y no te pasará nada. 3. vi alcanzamos Tsa cuahán ña ityi nuu,maa tyin cua tahan maa yu tsi ña. Ya se fue ella adelante pero de todos modos le alcanzó. 4. taahán tsi vi nos toca Ityaan taahán tsi tyahvi yo cuenda ndutya. Mañana nos toca pagar el agua.
304,"taahán yo 1. vt topamos, encontramos Tsa vatsí yu nañi tahan yu tsi tundutya yu. Cuando venía, hace ratito, topé con mi padrino. 2. vi mos pasa Nyoo cua nasoco tsi un nu cuahán un ta nduve tsa tahan un. Dios te bendecirá a donde vayas y no te pasará nada. 3.",vi,NA,NA,alcanzamos Tsa cuahán ña ityi nuu,maa tyin cua tahan maa yu tsi ña. Ya se fue ella adelante pero de todos modos le alcanzó. 4. taahán tsi vi nos toca Ityaan taahán tsi tyahvi yo cuenda ndutya. Mañana nos toca pagar el agua.
304,"taahán yo 1. vt topamos, encontramos Tsa vatsí yu nañi tahan yu tsi tundutya yu. Cuando venía, hace ratito, topé con mi padrino. 2. vi mos pasa Nyoo cua nasoco tsi un nu cuahán un ta nduve tsa tahan un. Dios te bendecirá a donde vayas y no te pasará nada. 3. vi alcanzamos Tsa cuahán ña ityi nuu, maa tyin cua tahan maa yu tsi ña. Ya se fue ella adelante pero de todos modos le alcanzó. 4. taahán tsi",vi,NA,NA,NA,nos toca Ityaan taahán tsi tyahvi yo cuenda ndutya. Mañana nos toca pagar el agua.
305,S.,vi,"se debe, es propio, es necesario","Yooho ta yuhu tsa cuví yo nyivi tsahnu, ña taahán ca tsi cañi tahan yo. Tú y yo ya somos adultos, ya no debemos pelearnos.",cua táahán yó,tahán yo
306,taahnú tsi,vi,1. se quiebra,"Cuaha xaan soco yutun tahnu tsa quitsi tatyi. Se quebraron muchas ramas cuando vino el viento. 2. se maltrata Vii vii tyituvi un cartulina can coto tahnu cuatyi can. Enrolla con cuidado esa cartulina, no sea que se maltrate. 3. taahnú yo nos lastimamos Yaha xaan tahnu yo tu tsa vee cañihi yo. Si levantamos algo muy pesado, podemos lastimarnos.",cuá cáhnú yo,táahnú yo Véase tsahnú yo
307,tsiquihí tahnu tsi,vi,NA,NA,NA,se dobla
308,táán yó,vt,"amasamos, batimos, sobamos","Taan yutsan can, cuhva un tsi yu coho yu. Amasa esa masa y dámela para beberla.",cuá taan yó,taan yó
309,táan,vi,tiembla,"Quivi quitsi tsa taan ndihi cuii vehe tani. El día que hubo el temblor, todas las casas se destruyeron.",cuá taan,taan; no usa pronombres
310,táhñí yó,vt,olemos,"Iyó ita tsa sii xaan cana tsi, tahñí yo tsi tsi. Hay flores muy bonitas y fragantes, y nosotros las olemos.",cua tahñi yo,tahñi yo
311,táhví yo,vt,quebramos,Ra tsahnu yucú can tahví ra yuu tyin cua tsinu vehe. Los señores que están allí están quebrando piedras para hacer una casa de adobes.,cuá táhvi yo,tahvi yo
312,tsicán tahvi yo,vt,NA,NA,NA,oramos
313,táhví yó ñúhú,vt,aramos,Cua tahvi yo ñuhu vityin; cua caca yo tsihin cuayu. Ahora vamos a arar la tierra; vamos a caminar con el caballo.,cua tahvi yó ñúhú,tahvi yó ñúhú
314,táná yo,vi,"gemimos, nos  quejamos (de dolor)","Taná yo tun cuuhví yo tsatsí jiñi yo. Si estamos enfermos con dolor de cabeza, nos quejamos.",cuá tana yo,tana yo
315,taní tsi,vi,"se está destruyendo,  se derrumba","Tahví xaan vehe ihya tsa cuenda tsa taan, yacan na tani tsi. La casa está muy cuarteada por los temblores, por eso hay que dejar que se derrumbe.",cua táni tsi,tán+ tsi Véase tsaní yo tanii (tanii) [variante de nii] entero
316,tándáhá yó [variante de tindahá yo] nos casamos tandahá yo (tándáhá yó),vt,empujamos,Tandaha mesa can na nacunyaa naa  can tsaha vehe. Empuja la mesa  para que quede pegada a la pared.,cuá tandáaha yó,tandaha yó Sinón tyandahá yo
317,"tándáhá ihñí yo, tándáhñí yo",vt,"empujamos, damos empujones","Tsa tsicuiñi carro can tan canyii tsi, tandahñi yo tsi tsi. Cuando el carro se paró y no arrancó, lo empujamos.",cuá tandaha ihñí yó,tándáha ihñi yo
318,tátú yó,vt,"enrollamos, ovillamos (cosas delgadas y no resistentes, como hilo)",Tatú yu yuhva tsihin ña tyin cunu ña jahma ndaha. Estoy enrollando el hilo con ella porque va a hacer una servilleta.,cua tátu yó,tatu yó Sinón nacuisó yo
319,"tátu yo, tsitátu yo",vi,estamos cansados,Tatú xaan yu tyin nyiso yu nducu icu. Estoy muy cansado porque ayer cargué leña.,cua cútatú yo,tsitatú yo
320,tátsií yó,vt,"mandamos, enviamos",Tatsi ra tsi yu scuela. El me mandó a la escuela.,cua tatsi yo,tatsi yo
321,tátsi yó 1.,vt,"sembramos, plantamos",Ra casa yu cua tatsi ra tindoco tsaaha vityin ihya. Ahora mi yerno va a plantar árboles de nanche. 2. tatsí tsi vi se siembra Tsa ndihi tsi tatsi tyin nda icu quitsaha tsatsí tsi. Ya se terminó de sembrar porque se empezó desde ayer.,cua tátsi yó,tátsi yo
321,"tátsi yó 1. vt sembramos, plantamos Ra casa yu cua tatsi ra tindoco tsaaha vityin ihya. Ahora mi yerno va a plantar árboles de nanche. 2. tatsí tsi",vi,se siembra,Tsa ndihi tsi tatsi tyin nda icu quitsaha tsatsí tsi. Ya se terminó de sembrar porque se empezó desde ayer.,cua tátsi yó,tátsi yo
322,tátsituñí yó,vt,castigamos,"Tu nyivi tsahñi yo cua tatsituñi ra andaru tsi yo. Si matamos a alguien, los soldados van a castigarnos.",cuá tatsitúñi yo,tátsitañi yo
323,"tatyi s 1. el viento, el aire Tatyi iyó tsi tsa yaha ora utsi uvi. Después de las doce hay viento. 2. el aliento Candá yo tyin nyito yo tsihin tatyi tsa nyito yo. Nos movemos y estamos vivos porque tenemos el aliento de vida. 3. el fantasma, el espíritu Nu cusava ñuu tuhvá tatyi tsinyií tsitsi vehe tahvi can. Cuando es medianoche el fantasma acostumbra andar en esa casa vieja. ndihí tatyi yo",vi,NA,NA,NA,respiramos
324,tává yó,vt,sacamos lin ra nyií vehe caa ta tsaa yu cahan ndaahvi yu tsaha ra ta tava yu tsi ra vehe caa can.,Un hombre estaba en la cárcel; llegué y rogué por él y lo saqué de allí.,cuá tava yo,tava yo
325,tává síín yó,vt,"apartamos, separamos","Tava siin un tsa vaha, ta tava siin un tsa ña vaha. Separa lo bueno de lo malo.",cuá tavá siin yo,tavá siin yo Sinón jasién yo
326,"tává yó tyínú, tává tyiñú yó",vt,mandamos a un mandado,Tava tyiñu tsi ra Beli cujata ra ¡in kilu nyayu. Manda a Felix a comprar un kilo de carne.,cuá tava yo tyíñú,tava yo tyíñú
327,távi yó,vt,hilamos,Taví yo catyi ta cuvi tsi yuhva. Hilamos algodón para hacer hilo. _-,cuá tavi yo,tavi yo fp
328,cutaxín yo,vi,NA,NA,NA,nos callamos
329,taxín tsi,vi,"1. se achata, se embota","Tun caa vaha cuví yatsa can, ña cua taxin maa can. Si esa hacha está hecha de buen metal, no se achatará.  2. se machaca, se machuca Vaha xaan taxín yaha jahá coho ndayi  ihya tyin ndi tsaa tsi. Los chiles se machacan muy bien con este molcajete, porque está nuevo. 3. se maltrata Ndihi cuii tutu ¡in mil tsa nyií tsitsi yitin camisa yu taxin, tyin nyií ñi maa can ta ndoo camisa cam. Todo el billete de a mil que estaba en la bolsa de mi camisa se maltrató, porque ahí estaba cuando la lavaron.",cuá táxin tsi,táxin tsi Véase tyaxín yo
330,"tica s la mariposa tica ti ityi yuu s el chapulín verde tica xiculu s el saltamontes tica xiyama s el saltamontes, el chapulín ticaá yo (tiícáá yó) 1.",vt,colgamos,"Cua ticaa yu intuhun foco ihya. Voy a colgar un foco aquí. 2. ticaá tsi vi está colgado Ticaá iin vatu tyitya tsitsi vehe can, nyehe yu tsityi xaan tsi. En la casa está colgado un racimo de plátanos, y vi que están muy maduros.",cuá ticaa tsi,ticaa tsi
330,"tica s la mariposa tica ti ityi yuu s el chapulín verde tica xiculu s el saltamontes tica xiyama s el saltamontes, el chapulín ticaá yo (tiícáá yó) 1. vt colgamos Cua ticaa yu intuhun foco ihya. Voy a colgar un foco aquí. 2. ticaá tsi",vi,está colgado,"Ticaá iin vatu tyitya tsitsi vehe can, nyehe yu tsityi xaan tsi. En la casa está colgado un racimo de plátanos, y vi que están muy maduros.",cuá ticaa tsi,ticaa tsi
330,"tica s la mariposa tica ti ityi yuu s el chapulín verde tica xiculu s el saltamontes tica xiyama s el saltamontes, el chapulín ticaá yo (tiícáá yó) 1. vt colgamos Cua ticaa yu intuhun foco ihya. Voy a colgar un foco aquí. 2. ticaá tsi vi está colgado Ticaá iin vatu tyitya tsitsi vehe can, nyehe yu tsityi xaan tsi. En la casa está colgado un racimo de plátanos, y",vi,NA,que están muy maduros.,cuá ticaa tsi,ticaa tsi
331,ticohó tsi,ve,NA,NA,NA,está abierto Vityin ticoho yuvehe. La puerta está abierta ahorita.
332,"tíndáhá yó, tándáhá yó",vi,nos casamos lin rayii tsa oco uhun cuiya vaha xaan tandaha ra tyin tsa tsitó ra cuhva jatyiñú ra tan jacatsí ra tsi ñasiihi ra.,Un joven de veinticinco años está listo para casarse porque ya sabe trabajar para mantener su esposa.,cua tindaha yó,tindaha yó
333,tínyíí yó,vt,ponemos,Tinyii coho un nuu mesa can. Pon tu plato en esa mesa.,cuá tinyii yo,tinyii yo
334,tihví yó,vt,1. chupamos,"Nihi yu intuhun mangu ta vaha xaan tsi, ndii xaan tihvi yu tsiti tsi. Encontré un mango muy bueno, comí limpia su fruta y me chupé la semilla. 2. lamemos Tihvi nundaha un tyin cuaha xaan nduxi ñuñu iñí can. Lame tus dedos porque tienen mucha miel de abeja.",cua tihvi yo,"tihvi yó) tiin yo (titn yó) vt agarramos Tiin yo loro, jaquihvi yo tsitsi vehe coto cuhun ti. Agarramos al loro y lo tiín tsi  pusimos en la casa, para que no se vaya. [cuá tiin yo, tiin yo]"
334,"tihví yó vt 1. chupamos Nihi yu intuhun mangu ta vaha xaan tsi, ndii xaan tihvi yu tsiti tsi. Encontré un mango muy bueno, comí limpia su fruta y me chupé la semilla. 2. lamemos Tihvi nundaha un tyin cuaha xaan nduxi ñuñu iñí can. Lame tus dedos porque tienen mucha miel de abeja. [cua tihvi yo, tihvi yó]) tiin yo (titn yó)",vt,agarramos,"Tiin yo loro, jaquihvi yo tsitsi vehe coto cuhun ti. Agarramos al loro y lo tiín tsi  pusimos en la casa, para que no se vaya.",cuá tiin yo,tiin yo
335,tíin tsi,vi,"1. se agarra, agarra","Ñihi xaan tiín tutu can tsaha vehe tyin nyaá tsa quixin. Ese papel está pegado bien a la pared por el pegamento. (lit: el papel agarra fuerte a la pared) 2. duele Vasiqui tyin tsatsi yu tsa ña vaha, tyin tiin xaan tsitsi yu tan ndutsan yu. Tal vez comí algo malo porque, me dolió mucho el estómago y vomité también.",cuá tiin yo,tiin yo
336,tíví tsí,vi,echa a perder,"Na cua tivi yaha taxin ihya tsa numi tyin tuví vaha xaan yaxu can. Esta salsa no se echará a perder pronto, porque tiene mucho ajo.",cuá tivi tsí,tivi tsí
337,tiví yo,vt,1. soplamos,Tivi nuu cavee un na nyico can. Sopla tu café para que se enfríe. 2. tocamos (un instrumento como trompeta) Ra luhlu tiví ra caa. El muchacho toca la trompeta.,cua tivi yo,tivi yo)
338,tíví sii yo,vi,escupimos,"Ña vaha tivi sii yo nu ñuhu tsitsi vehe, tyin nyahyu xaan cuví. No es bueno escupir en el piso porque luego se ensucia mucho.",cuá tivi sti yO,tivi sH yo
339,si (tóo tsi,vi,gotea,"Tun cuun savi too xaan ndutya tsitsi vehe yu. Cuando llueve, gotea mucho en mi casa.",cuá too tsi,too tsi
340,tucuátyi tsi,vi,se tira (cosas chiquitas),Cuaha xaan yutyi cavee tucuatyi nuu mesa. Se tiró mucho polvo de café en la mesa.,cua tucuatyi tsi,tucuatyi tsi Véase cuatyi
341,túcúvi,ve,parece lIyó naa tundoho cua tahan yu tucuvi tyin quitsi nu cahun tsacu nu yuvehe yu cuñi.,"Parece que algo malo me va a suceder, porque anoche vino el tecolote a cantar a mi casa.",NA,no usa pronombres
342,túhún yó,vt,"arrancamos, sacamos",Iyó xaan yahmi tsi yu; ityaan cutuhun yu taahan tyin tyihi yo catsi yo. Tengo muchos camotes; mañana voy a arrancar unos para cocerlos y comerlos.,cuá tuhun yo,tuhun yo
343,ndihí tuhun yo,vi,NA,NA,NA,morimos
344,túhvá yó,ve,NA,NA,estamos acostumbrados,sabemos Tuhva ndi tsihí tutya tsa cuví Vico Ndiyi. Nosotros acostumbramos tomar atole en Todos Santos.
345,ndutumí tsi,vi,NA,NA,NA,se despeluza
346,tútú yó,vi,chiflamos,"Tu cusií iñi yo, tutu yo. Si estamos alegres, chiflamos.",cua tútu yó,tútu yó
347,tútsí yÓ,vt,picoteamos,Catsaha tutsi nditsii luxu cuñu quiti tsihi. El zopilote empezó a picotear un poco la carne del animal muerto.,cuá tútsi yó,tútsi yó
348,tútsí yó,vt,"disparamos, tiramos (con escopta u otra arma)","Icu ñihi yu intuhun tyityi; tsihin nii ndicaa tutsi yu tsi ti. Ayer hallé una iguana, y le tiré con una resortera.",cuá tútsi yó,tútsi yo
349,túvi yo,vi,"1. nos intoxicamos, nos envenenamos","Yaha xaan tuvi yu tujuhma tyaa tsi yu icu. Me intoxiqué mucho con el piquete del alacrán, que me picó ayer. 2. tuví tsi de sobra (con el negativo quiere decir falta) Yaha xaan vixi cavee ihya tyin tuví xaan azuca. El café está muy dulce porque tiene azúcar de sobre. Na tuvi maa azuca cavee ihya. El azúcar no alcanzó para endulzar este café.",cuá tuvi yo,tuvi yo
350,túvi iñi y0,vi,1. sentimos (físicamente) ¿Tuvi iñi un taan tsa ora? ¿Sentiste el temblor a mediodía? 2. nos damos cuenta,Tuvi iñi un naa cuví can caahán ra. Te diste cuenta de lo qué hablaba él.,cuá tuvi iñi yó,tuvi iñi yo
351,tsáá tsí,vi,NA,florece (las flores) ¡Sii xaan tsaa ita rosa nyaá can! ¡Qué bonito floreció la rosa que está ahí!,cuá tsaa tsi,tsaa tsi
352,tsaá yo,vi,1. llegamos,"Tsica ra uvi quivi ta tsaa ra ndutya ñuhu. El caminó por dos días, y entonces llegó al mar. 2. alcanzamos Na tsaá yu nu nyaá nduyu tsaha vehe can jahma yu. No alcanzo donde está el clavo en la pared para colgar mi ropa.",cuá tsáá yo,tsaa yo
353,tsaahnú yo,vt,1. quebramos,"Tsaahnú sava ra ndoho cayu tsihin pala. El está quebrando por la mitad un ladrillo con la pala. 2. pizcamos, cosechamos Cahnu yo niñi tyembu tsa naquihin tsi. En el tiempo de cosecha vamos a pizcar mazorca.",cuá cahnú yo,tsahnú y0
354,tsaahnyá yo,vt,"rompemos, cortamos, partimos","Tsahnya nu cuayu yoho nu, ta quita nu cora. El caballo rompió el mecate y se salió del corral. 2. tsaahnyá ti muerde (murciélago) Uhvi xaan soho cuayu jana yu tsahnya pali. Está muy herida la oreja de mi caballo que el murciélago se la mordió.",cuá cahnyá yo,tsahnya yo
355,tyaahnyá tsi,vi,"se corta, se rompe tsaahnyá iñi yo (tsaahnyá íñi yO) vt 1. dejamos de hacer, olvidamos (con intento)","Tun ña cahnya iñi un nyixi can, ña cua nduvaha un. Si no dejas el licor, no sanarás. 2. nos atrevemos Yahvi xaan nyaá reloo, soco tsahnya iñi yu jata yu intuhun. Valían muy caros los relojes, pero me atreví a comprar uno.",cuá cahnya iñi yó,tsahnya iñi yo
355,tsaahnyá íñi yO,vt,"1. dejamos de hacer, olvidamos (con intento)","Tun ña cahnya iñi un nyixi can, ña cua nduvaha un. Si no dejas el licor, no sanarás. 2. nos atrevemos Yahvi xaan nyaá reloo, soco tsahnya iñi yu jata yu intuhun. Valían muy caros los relojes, pero me atreví a comprar uno.",cuá cahnya iñi yó,tsahnya iñi yo
356,tsaahñí yo,vt,"amarramos, atamos",Tsahñi yu tanque yihí gas tyin ña nduva nu. Amarré el tanque  de gas para que no se caiga.,cua cuhñi yó,tsahñi yo
357,nuuhñí yo,ve,NA,NA,NA,estamos amarrados
358,tsinuhñí tsi,vi,"se amarra tsacá yo (tsácá yo) vt rayamos, pasamos (sobre una superficie)",Tsacá ra tsa cuví brocha can tsaha vehe tsihin pintura tsa cahyf ra vehe. El pasa la brocha con pintura por la pared cuando la está pintando.,cua vacá yo,tsaca yo
358,tsácá yo,vt,"rayamos, pasamos (sobre una superficie)",Tsacá ra tsa cuví brocha can tsaha vehe tsihin pintura tsa cahyf ra vehe. El pasa la brocha con pintura por la pared cuando la está pintando.,cua vacá yo,tsaca yo
359,tsácá yáá yó,vt,lamemos,"Tsaca yaa, tsaca yaa ñi un paleta can, ndutya maa can tsitsi yuhu un. Vas lamiendo esa paleta, y se deshará sola en tu boca.",cua vaca yaa yo,tsaca yáá yo
360,tsácú yo,vi,1. lloramos,"Na jacusu yo tsi ra lee tyin tsacú xaan ra, ta ña cuví maa jatyiñu yo, soho xaan yo jahá ra. Hacemos dormir al nene porque está llorando mucho; no podemos trabajar y nos pone como sordos por el ruido. 2. tsacú ti canta (pájaros) Nu ñuu ñayivi cuaha xaan saa iyó, nda cuvi ñi maa tsiñí yo tsacú iin saa. En el mundo hay muchos pájaros, dondequiera que estamos oimos cantar algún pájaro. 3. tsacú tsi se toca (la música) Tyacú ñi tsacú yaa nu iyó vico tindaha. Se oye que está tocando la música de allá del casamiento.",cua vácú yo,tsáacú yo
361,tsácú naahá yo,vi,nos reímos,"Tsacu naaha xaan ndi jaha ra Manchiu, tyin tsañi ra yaa ta nduvahñi ra. Amancio nos hizo reír mucho, porque estaba bailando y se cayó.",cuá vácú naaha yo,tsacú naahá yó
362,tsacú nducú yo,vt,nos burlamos de,Nyivi quiñi caá tuhvá ñi vacu nducu ñi tsi tahan ñi. La gente de mal carácter se burla una de otra.,cuá vácú nducu yo,tsacu nducu yo
363,tsáha yo,vt,1. damos,"Iyó iñi yu cua cuhva maa yu iin vestido tsi ña. Deseo regalarle un vestido. 2. permitimos, concedemos Tsacuaa cuñi, ña tsaha tsi cusu yo tyin taan xaan. Anoche tembló mucho y no pudimos dormir. (lit: no nos permitió dormir)",cua cúhvá yo,tsaha yo
364,tsáha nuu yo,vt,prestamos,"Tsaha nuu yu grabadora yu tsi ra Betu tyin vaha xaan iñi ra, ña siqui iñi ra. Le presté mi grabadora a Roberto, porque él es muy buen amigo y no es grosero.",cua cúhva nuu yo,tsahá nuu yo
365,tsáhmí yó,vt,1. quemamos,"Natihvi yo ta cahmi yo tsahan. Vamos a barrer y a quemar la basura. 2. fumamos Inu ihya tsahmi yu ta yuhvi xaan yu jaha tsi tyin xaan xaan tsi. Fumé el tabaco y me dio mucho miedo, porque está muy fuerte.",cuá cahmi yo,tsahmi yo Sinón jacayú yo
366,tsáhnú yó,vi,"crecemos (gente, animales, árboles y otras plantas que no son bejucos o pasto)Ra cuatyi tsahnu xaan ra naha ra cuyava.",Los muchachos crecieron mucho el año pasado.,cuá cuahnu yo,tsahnu yo
367,tsáhñí yo,vt,matamos,Tsahñí yu ndivi ihya tyin cuvi ti calu. Estoy matando esta gallina para hacer caldo.,cuá cahñi yo,tsahñi yo
368,tsaní yo,vt,"destruimos, derribamos","Tsaní yo vehe tsahnu ihya, ta cua sama yo inga tsa tsaa. Estamos destruyendo la casa vieja, vamos a construir otra nueva.",cuá cani yo,tsani yo
369,taní tsi,vi,NA,NA,NA,se destruye
370,tsañí yo,vt,pisamos,Icu tsañi yu ¡in iñu yuvehe yu. Ayer pisé una espina en mi casa.,cuá cuañi yo,tsañi yo
371,"tsañí ihñi yo, tsa íhñi yo",vt,pateamos,"Cuhva tsa tsa ihñi yu pelota can, quehñi ñi zapatu yu. Al patear la pelota, se me salió el zapato.",cuá cuañi ihñi yo,tsañi ihñi yo
372,tsañí yo yáa,vi,bailamos,Tsañi xaan yo yaa tahnu ihya. Hemos bailado mucho la danza de los tejorones.,cuá cuañi yo yáa,tsañi yo yáa
373,tsaquín yo,vt,colocamos,"Ra Julián tsahnya xaan ra ndoo icu, ta vityin nacuisó xaan ra ndoo tsaquín ra tsaha catya. Ayer Julián cortó mucha caña; ahora la está cargando y colocándola al pie del trapiche.",cuá caquin yó,tsaquin yo
