Index,Verb,VerbClass,Spanish,Example,Verb.IMPF,Verb.PFV,Rest2
784,kaka tóo na,v.t.,"pedir (prestado, lit. pedir por un rato)","Tin kuu ni sa'an Kristiná ni xika tóoán di'ón ve'e Vlanká. Un día, Cristina fue a pedir prestado dinero a la casa de Blanca. Deriv. de tóó",xíka tóo na,ni xika tóo na,
785,nachina'á ná,yv.t.,NA,NA,volvera informar,NA,jurar
786,china'a na,v.t.,"marcar, trazar (medidas)",Ni chiná'a na rayá noó kakuu sa'a véte. Marcaron con rayas donde se va a poner el cimiento de la casa. Deriv. de kana'a ña,chína'a na,ni chiná'a na,
787,chinaní kini na,y.t.,NA,"llamar (malo), difamar",chínaní kini na,ni chinaní kini na,
788,chindaá na,v.t.,1. raspar,Chíndaá kíti dini ri ndika yíto. Los chivos se raspan la cabeza en los árboles. 2. untar Chíndaá na sití seí yo ndá'a ná noo ni kei. Ella unta aceite comestible donde se quemó la mano.,chíndaá na,ni chindaá na,
789,chinda'a na,y.t.,"poner, pegar (en una superficie, complemento singular)",Ni chindá'a na na'áná na ndika ve'e na. Ellos pusieron su fotografía en la pared de la casa.,chínda'a na,"ni chindá'a planearon bien la fiesta de su pueblo. 2. reunir (fondos), cooperar Ni saki niyuu ñoó di'ón ni xiin na iin kaa kachóon na ve'e chóon na. La gente del pueblo cooperó para comprar un aparato para el palacio municipal.  3. tejer (el comienzo de un sombrero o petate de palma) Ni saki na mvélo ko'on na kava'a na. Tejió las bases (lit. los comienzos) de unos sombreros para ir a hacerlos. [pres. sakí na; pas. ni saki na",
790,dákaki na,v.t.,"salvar, rescatar kakian y. cop. ser","Ve'e yu'u kíán. Es mi casa. Comp. de kakuu na, ña",kíán,ni sa kian,"Var. kakuuan kakian v. cop. ser que lin ña va'a nda'o kían kava'a yó mvélo, tído nóo nda'o ya!i ña. Es bueno tejer sombreros (lit. Una cosa buena es que hacemos sombreros), pero se gana muy poco. [pres. kían; pas. ni sa kían] Var. kakuuan 4 dá kían conj. entonces"
791,kaki na choon,v.i.,demandar,Ko'in ve'e kaa chi ni saki na choon sa'í. Voy a ir a la cárcel porque me demandaron. Deriv. de choon,sakí na choon,ni saki na choon,
792,kaki'ó ña,v.i.,"ser pesado, pesarse",Sa ni sa ki'ó vá noni. Ya se pesó el maíz. Deriv. de kito¡,sá ki'ó ña,ni sa ki'ó ña,
793,kaki yáó ná,v.t.,"tender, extender (maíz, semillas)",Ni saki yáó ná tiyiki na dá ichi ri. Extendió las semillas de calabaza para que se secaran.,sáki yáó ná,ni saki yáó ná,
794,kakomí ná,y.t.,"tener, poseer",Kua'á nda'o chee ni sa komí ditoi. Mi tío tuvo mucho ganado.,kómí ná,ni sa komí ná,
795,kakoo na,y.i.,"sentarse, estar sentado (sujeto singular)",Ndaa xoo káa túu ni sa koo ilo. Desde aquel lado se vio que se sentó un conejo.,ió na»,"hab. sá koo na;  ni sa koo na, ni sa io na",Véase kandei na
797,kakuíin na,v.i.,"1. pararse, ponerse de pie (sujeto singular)","Kakuíin, kandatón ñanon, a sa dánakoón xi. ¡Párate!, espera a tu hermano, no lo dejes. 2. detenerse (en el camino, sujeto singular) Dá ni sa kuíin rató'o ñoó íin ra ndé'é rá. Entonces el señor se detuvo para mirar. Deriv. de kuiin na,",sá kuiin na,"ni sa kuíin na, ni sa kuiin na",Véase kakuita na
798,kakuita na,v.i.,NA,"1. pararse, ponerse de pie (sujeto plural) 2. detenerse (en el camino, sujeto plural)",sá kuita na,ni sa kuita na,"Véase kakuíin na kakuita ndichi na v.i. ponerse de pie, pararse (sujeto plural) Comp. de kakuita na, ndichi [pres. sá kuita ndichi na; pas. ni sa kuita ndichi na]"
798,"kakuita na v.i. 1. pararse, ponerse de pie (sujeto plural) 2. detenerse (en el camino, sujeto plural) [pres. sá kuita na; pas. ni sa kuita na] Véase kakuíin na kakuita ndichi na",v.i.,"ponerse de pie, pararse (sujeto plural)","Comp. de kakuita na, ndichi",sá kuita ndichi na,ni sa kuita ndichi na,
799,kakuita xití ná,v.i.,NA,"arrodillarse, hincarse (sujeto plural)",sá kuita xití ná,ni sa kuita xití ná,"Véase kakuíin xití ná kakuita koo na v. i. pararse, separarse (a un lado, sujeto plural) Ni sa'an ndu noo rayá, ni sa kuita xoo dao ra, chi yu'ú ra. Fuimos al deslinde; muchos se pararon a un lado porque tuvieron miedo. Comp. de kakuita na, xoo [pres. sá kuita xoo na; pas. ni sa kuita xoo na] Véase kakuíin xoo na kakuita yíko v. t hacer surcos (con arado) Comp. de kakuita na, yíko kakúti ñá v.i estar adornado Sa ni kakúti ve'e tá ni xinoan. La casa estuvo adornada cuando fue terminada la construcción. [pres. kákúti ñá; pas. ni kakúti ñá]"
801,kámanió,v.i.,NA,NA,NA,NA,"faltar (hacer algo) Kámanió kasá'á yu'u kenduui ña'a kasá'an ndu, kúú sa ni kasáa va na. Todavía no había empezado (lit. Faltó que empezara) a preparar la comida cuando ellos llegaron. Comp. de kamani ná, va"
802,kana na;,v.i.,subir (por la tierra),Kokana na vei na noó ndéi yó; xíni ndá choon vei na. Están subiendo hacia nosotros; quién sabe para qué.,hab. kána na,progr. kokana na;  ni kana na,Véase nana na
803,kana na; 1.v.t llamar Ná ko'in chi kána na yu'u. Me voy porque me están llamando. 2.,v.t.,invitar,"Ni kana ñaá tá'an yu'u ña ko'in víko ve'e na. Mis parientes me invitaron a ir a la fiesta en su casa. 3.v. i cantar (gallo, guajolote) 1ó iin chéli noo ndú, kúú na'a ndava'o kána rí. Tenemos un gallo y canta muy de madrugada.",kána na,ni kana na,
804,kana'á ná,v.t.,1.saber ¿,Á ko ná'á ní ndá xoo íin Yukú Sádi? ¿No sabe usted en qué lado queda el Cerro del Águila? 2. conocer ¿Á ná'á míní dito yu'u? ¿Conoce usted a mi tío?,ná'á ná,ni sa na'á ná,
805,china'a na,v.t.,NA,NA,NA,NA,"marcar, trazar (medidas)"
806,na'a noo ná,v.i.,NA,NA,NA,NA,aparecer
807,kana'á na xí'ín ná,v.i.,"recibir (mala impresión de alguien), desilusionarse (de alguien)","Ná ko'in chindeéí ñanii, chi káva'a ve'e xi, tá ná o kó'in, ta kúú kana'á xi xí'ín. Voy a ayudar a mi hermano porque está construyendo su casa; si no voy, se desilusionará de mí.",kána'á na xí'ín ná,ni kana'á na xí'ín ná,
808,kana ínío ná,y.i.,"salir (el alma), morir (lit. salir su corazón)","Yu'ú ndíká ñadi'í ra ná kana ínío rá tá ni xi'i ra. En el pecho de su mujer debe morir.  Comp. de kana naz, nío",kána ínío ná,ni kana ínío ná,Var. kana ánío ná
809,kana kao na,v.i.,caerse (sujeto singular),"Ni kachi'i sá'á ná iin yuu, ta kúú ni kana kao na. Tropezó con una piedra y se cayó.",kána kao na,ni kana kao na,Var. kankao na
810,kana kono na,y.i.,correr (sujeto singular),"Kána kono na kua'an na tiin na tiñoó, chi ni kasáa na kuiin na ri. Ella fue corriendo para agarrar a la gallina, porque llegó una persona para comprarla.",kána kono na,ni kana kono na,Var. kankono na
812,kanani na,y.i.,ser regañado,"Yu'ú xi kanani xi, chi ni ta'í xí ko'o. Ella tiene miedo de ser regañada por haber quebrado unos platos.","kánani na, náni na","ni nani na, ni kanani na",
813,kanani na,y.i.,cerrar (los ojos),"Náni na, chi ká'on noo ná ni kee yá'a. Ella tiene cerrados los ojos porque le arden por el chile.",náni na,ni sa náni na,
814,kanaó ná,y.t.,"tener puesto (pantalón, falda, fondo, pantaleta)",Luu káa sati naó tayií káa. El pantalón que ese muchacho tiene puesto está bonito.,"namó na, naó na",ni sa naó ná,Véase dákaón na
815,kana xoo na,y.i.,"apartarse, separarse (del grupo)","Kana xoo va de'i koo xi, chi sa ni xino ve'e mií xí. Mi hijo se apartó, él va a vivir en su propia casa porque ya se terminó la construcción. Comp. de kana naz, xoo",kána xoo na,ni kana xoo na,Var. kanxoo na Véase kankuei xoo na
817,kandaa na»,v.t.,gastar,"Tá ni ni'i ndo iin sientó pesó, kandaa ndo uu diko uxi pesó, ta kúú uu diko uxi pesó chikaa va'a ndó, chi ko íin xíni ndí kián ndo'o ndó itaan. Si reciben cien pesos, gasten cincuenta pesos y guarden cincuenta pesos, porque, ¿quién sabe lo que vaya a suceder mañana?",xíondaa na,ni xiondaa na,
818,kandaa ñañó'ó ná,v.i.,quedar (en vergiienza),"Káni'ini va'a na noó de'e na, dá chi ko kóni na kandaa ñañó'ó xí chí noo. Ellos instruyen bien a sus hijos porque no quieren que queden en vergiienza en el futuro.  Comp. de kandaa na, ñañó'ó",kándaa ñañó'ó ná,ni kandaa ñañó'ó ná,
820,kandaa yú'u ná,yv.t.,"aconsejar, instruir","Ko ndaá yú'u tá'on na de'e na; sa'á ñoó kúú xí de'e koóan ñó'ó, de'e kini, de'e tondó. Ellos no instruyen a sus hijos, por eso son irrespetuosos, malos y rebeldes.  Comp. de kandaa naz, yú'u",ndaá yú'u ná,ni sa ndaa yú'u ná,
822,kandaka na,y.t.,"1. llevar, traer, cuidar (animal)","Ndáka na chee na kua'an na yúku kasá'an rí. Llevó a sus vacas a comer al monte.  2. llevar, traer, acompañar (persona) Ndáka na mváa ná kua'an na kuio na títo. Él lleva a su compadre a traer leña.",ndáka na,ni sa ndaka na,
823,kandaki na,v.t.,tener puesto (en el cuello),Ndakí na díki. Ella tiene el collar puesto.,ndakí na,ni sa ndaki na,
824,kandaki ndaa na,y.t.,1. cargar (en el pecho),"Ndakí ndaa na taleé na xí!ín peín na, tor kua'an na choon. Ella carga a su bebé con su rebozo en el pecho cuando va al mandado.  2. tener puesto (collar con dije) Ndakí ndaa na iin krúz. Ella trae un crucifijo puesto.",ndakí ndaa na,ni sa ndaki ndaa na,
825,kandati kueé na,v.t.,esperar (con calma),"Ko nómi tá'on na, sa'á ñoó kandati kueé na ndusaa mváa ná dá kantó'ón ná xí'ín rá. Él no tiene prisa, por eso va a esperar con calma que regrese su compadre para platicar con él.",ndáti kueé na,ni sa ndati kueé na,
826,kandaya'i na,v.i.,1. ser importante,"Ndáya'i ndava'a vaan ña ko'on xi eskuelá dákuá'a xi, dá kati'a xi taa xi, dá kati'a xi ka'i xi. Es muy importante que vaya a estudiar a la escuela para que aprenda a escribir y a leer. 2. valer Ya'i nda'o ni xiin na kamión saá na, tído ko ndáya'i ka ra viti, chi ni kuyatá vá rá. Costó mucho su carro cuando lo compró, pero ahora ya no vale porque está viejo. Comp. de kandaa na, ya'i",ndáya'i na,ni sa ndaya'i na,
827,kandeé ná,yv.t.,"1. poder hacer, lograr hacer","Kandeé ná káva'a na uxi mvélo iin kuu. Ellos pueden hacer diez sombreros al día.  2. ganar, vencer, superar Ni kandeé vá takuáchí ñoo ndu ni taxí tá'an xi xí'ín takuáchí iin ka ñoo. Los muchachos de nuestro pueblo ganaron la carrera contra los del otro pueblo.",kándéé ná,ni kandeé ná,
828,kande'é ná,y.t.,NA,NA,NA,NA,"ver, mirar Kó'o yúku"
829,kande'é chindó na,y.t.,mirar (con expresión de enojo o asombro),"Ndé'é chindó tá'an takuáchí di'í káa ndéi xi sa!a iin tayií. Esas muchachas se echan miradas de enojo una a la otra por un muchacho.  Comp. de kande'é ná, chindó",ndé'é chindó na,ni sa nde'é chindó na,
830,kande'é káxí ná,y.t.,mirar (fijamente o fríamente),"Ndé'é káxí ná noó na ká'an kuachi sa'a ná, nde'á á ko xíka'an noo ná. Él está mirando fríamente a la persona que lo está culpando, a ver si así no le da pena. Comp. de kande'é ná, káxí",ndé'é káxí ná,ni sa nde'é káxí ná,
831,"kandei na,",v.i.,"1. estar, existir, haber (sujeto plural)","Kua'á nda'o na ká'an nda'í ndéi Ñadeen. Hay mucha gente que habla mixteco en Huajuapan. 2. vivir, radicar (sujeto plural) Ko ndéi ka ndu fioo ndu, ndaa iin ka ñoo va ndéi ndu. Ya no vivimos en nuestro pueblo, sino en otro pueblo. 3. tener, poseer (complemento plural, lit. haber de su posesión) Ni sa ndei uu vúrroi. Yo tenía dos burros. (Lit. Hubo dos burros míos.)",ndéi nay,ni sa ndei na,Véase koo naz
832,chindei na,v.t.,NA,NA,NA,NA,"poner, tender"
833,kandei ndaa na,y.i.,estar arrimados (sujeto plural),"Ndéi ndaa tiñoó kuálí sa'a yé'é, chi ko nónóán ndu'u rí. Los pollitos están arrimados a la puerta porque no está abierta y quieren entrar. Comp. de kandei na, ndaa",ndéi ndaa na,ni sa ndei ndaa na; suj. sing. kandu'u ndaa na,
834,kandei nda'í na,v.i.,"vivir (en pobreza o tristemente, sujeto plural)","Kua'á ndava'o ñayuu ndéi nda'í Ñako'óyó, ndéi na chiya'i ndodó ná. Mucha gente vive en pobreza pagando rentas en México.",ndéi nda'í na,ni sa ndei nda'í na,
835,kandei ni'ini na,v.i.,1. estar (por dondequiera),"Ndéi ni'ini tina kídi ri sarvé'e noó dai. Los perros están afuera durmiendo bajo la lluvia. 2. estar (en un lugar no adecuado) Ndéi ni'ini mvélo ná; ko ndéi va'a ña. Sus sombreros no están puestos en un lugar adecuado; no están en su lugar. Comp. de kandei nas, ni'ini",ndéi ni'ini na,ni sa ndei ni'ini na,Véase koo ni'ini na
836,kandei oon na,v.i.,estar desocupados (sujeto plural),"Ndéi oon va ndu'u ní'i ndée ndú viti, chi sa ni kachóon nda'o ndu. Estamos desocupados descansando hoy porque trabajamos mucho. Comp. de kandei na, oon",ndéi oon na,ni sa ndei oon na,
837,kandei tádi ná,v.i.,"1. estar quietos, estar callados (sujeto plural)","Ndéi tádi vá xí, chi kú'u va naná xi. Los niños están quietos porque su mamá está enferma. 2. estar en paz (entre personas) Ndéi tádi vá na Kiní xí'ín na Sajó. Los de Yucuquimi y los de San Juan están en paz.",ndéi tádi ná,ni sa ndei tádi ná; suj. sing. koo tádi ná,
838,kandía na,v.t.,aceptar,"Ni kandía va na dikó ná ve'e nooí, chi ni ku'u ini na sa'í. Ellos aceptaron venderme la casa porque tuvieron misercordia de mí.",kándía na,ni kandía na,
839,kandii,v.i.,haber sol,Ndií va kuu víti. Hay sol este día.,ndií,ni sa ndii,
840,kandi'i ña,v.i.,estar abierto,"Ni sa ndí'i yái tiyóto sa'a vé'e káa, tído ni sadi vai ña. Estaba abierto un hoyo de ratón allá en el cimiento de la casa, pero ya lo tapé.",ndí'i ña,ni sa ndí'i ña,
841,kandí'i na,v.i.,1. estar acostado,"Kándí'i na yúu ndéi na kídi na. Ellos están acostados durmiendo sobre un petate. 2. sentarse, estar sentado Kándí'i na yuú lakó ndéi na ndíko na ka'á yodó na. Ella está sentada en el  petate chico moliendo en el metate.",kándí'i na,hab. sá ndí'i na;  ni sa ndí'i na,
843,kandii yóo,v.i.,haber luna,"Tá ndií yóo dá ndákuei kirí ñoño kua'an ri kuio rí ita kasá'an rí. Cuando hay luna, salen las abejas y van a traer su alimento de las flores.",ndií yóo,ni sa ndii yóo,
844,kandiko na 1.v.i estar amarrado ¿Á ndíko va chee? ¿Están amarrados los toros? 2.,v.t.,"seguir, venir (guiándose por alguien o algo)","Ndíko na yu'u vei na, chi ko ná'á ná ndá modó kii na ñoo yo. Me viene siguiendo, porque no sabe cómo llegar a nuestro pueblo. 3. v. t ser fiel (a alguien) Ndíko nda'o ñaá tina ló'i. Mi perrito me es muy fiel.",ndíko na,ni sa ndíko na,Var. ndiko na
845,nandíko ri,v.i.,NA,NA,NA,NA,ser amarrado
846,indaya'ina,v.t.,"1. alabar, engrandecer","Chíndaya'i na ta né'e choon, chi keyíko va'a ra sa'a ná. Ellos alaban a la autoridad porque les hace justicia.  2. sentirse orgulloso Chíndaya'i na mií ná tá kándéé ná kée na iin ña'a. Se siente orgulloso cuando puede hacer algo.  Deriv. de ndáya'i na, kandaya'i na",chíndaya'i na,ni chindaya'i na,
847,chindeé ná,y.t.,NA,NA,NA,NA,"ayudar, apoyar Ni"
849,chindei na;,v.t.,"poner, tender (en el suelo, complemento plural)","Chíndei va'a na títo ná sa'a vé'e na. Ellos ponen la leña en el suelo, junto a la pared de la casa. Deriv. de kandei naz",chíndei na,ni chindei na,Véase chindu'u ná
850,4 nachindei na,v.t.,NA,NA,NA,NA,volver a poner (en el suelo)
851,chindei kuití na,v.£,amontonar (complemento plural),Ni chindei kuití yo níi. Amontonamos mazorcas en el suelo.  Deriv. de kuitíz,chíndei kuití na,ni chindei kuití na,Véase chikani kuití na
852,kandio na,y.t.,1. cargar (en la espalda),"Tá sa na'á dá sa sá'an na ya'i xí'ín vúrro na ndío ri yúu kua'an ri, tá nándiókuéi na kua'an nó'o ná dá ndío rí noni kua'an ri. Hace tiempo la gente iba a la plaza con sus burros que cargaban petates; de regreso cargaban maíz. 2. ser responsable, tener un cargo Ndído na iin choon ñoo na, ta ko nóno ná ko'on na kuchóon na. Él tiene un cargo en su pueblo y no puede salir a trabajar.",ndío na,ni sa ndio na,Var. kandido na
853,kandio díní ná,v.t.,"cargar (atrás, apoyado en la frente con mecapal)","Ndío díní ná yoo na, kua'an na ki'in na takuií ndúta. Van cargando su cántaro en la cabeza con mecapal para traer agua en el pozo. Comp. de kandio na, dini",ndío díní ná,ni sa ndio díní ná,Var. kandido díní ná
854,kandio doko ná,y.t.,"cargar (atrás, amarrado en los hombros)","Comp. de kandio na, doko",ndío doko ná,ni sa ndio doko ná,Var. kandido doko ná
855,kandio ndika na,y.t.,NA,"cargar (atrás, amarrado en el pecho con soga)",ndío ndika na,NA,pas. ni sa ndio
856,kandita na»,v.i.,1. estar parados (sujeto plural),"Ndíta na ndé'é ná noó taxí tá!lan kuéi víko sa'on iin septiemvré. La gente está parada mirando la carrera de caballos en la fiesta del 16 de Septiembre. 2. haber (aroma, fig.) Támi ndíta díko kui'i tiendá káa. Es agradable el aroma de frutas que hay en esa tienda.",ndíta na,ni sa ndita na,Véase kuiin na;
857,kandita ndaa na,yv.i.,"1. estar parados (rectos, sujeto plural)  2. ser bien firmes (de carácter, sujeto","Plural) Ndíta ndaa na xí'ín to'on ni ka'an na. Ellos son firmes en sus tratos.  Comp. de kandita na», ndaa;",ndíta ndaa na,ni sa ndita ndaa na,Véase kuiin ndaa na
858,kandita nduu na,y.i.,"estar listos, estar preparados (parados, sujeto plural)","Kandita nduu ní yú'u karrterá káa, chi sa vei kamión ko'on ní Ñadeen. Pónganse listos a la orilla de la carretera, porque ya viene el camión en el que van aira Huajuapan.  Comp. de kandita na, nduu",ndíta nduu na,ni sa ndita nduu kandita xítí ná na,Véase kuiin nduu na
859,kandita xítí ná,v.i.,"estar hincados (de rodillas), estar arrodillados (sujeto plural)",Ni sa ndita xítí ná noó yoko ná. Se arrodillaron (lit. están arrodillados) ante su ídolo.,ndíta xítí ná,ni sa ndita kandita xoo na xítí ná,Véase kuiin xítí ná
860,kandita xoo na,v.i.,"estar parados (aparte, sujeto plural)","Ndíta xoo kití saá, ko kóni ri naki'in tá'an rí xí'ín kití kua'a. Los chivos nuevos están parados aparte, no quieren unirse con los demás.  Comp. de kandita na), koo.",ndíta xoo na,ni sa ndita xoo na,Véase kuiin
861,kandixi nda'í na,y.i.,vestirse (de luto),"Ndíxi nda'í na ñoo Ñaxi'a tá xí'i ndii ve'e na. En Tezoatlán se visten ropa de luto cuando muere un familiar.  Comp. de kandixi na, nda'í",ndíxi nda'í na,NA,pas. ni sa ndixi nda'í discurso)
862,kandodó ndachí ná,y.i.,"flotar (sobre el agua, sujeto plural)","Xe'e kándodó ndachí noo takuií. La basura está flotando sobre el agua.  Comp. de kandodó ná, ndachí ña",kándodó ndachí ná,ni sa ndodó ndachí ná,Véase kanóo ndachí ná
863,kandoo na,v.i.,NA,NA,NA,NA,1. quedarse Ni
864,kandoo mani ná noo ná,v.i.,ganar (el afecto o la estimación),"Ni kandoo mani vá yu'u noó na ñoo. Yo gané la estimación del pueblo.  Comp. de kandoo na, mani, noo;",kándoo mani ná noo ná,ni kandoo mani ná noo ná,
867,kandoo ndá'a ná,v.i.,1. quedar (en la quiebra),"Ni ndi'i va ñó'o ná ni dikó ná, chee na viti, ve'e na viti, ni kandoo ndá'a ná ni kee kue'e ñadi'í na. El vendió todo su terreno, ganado y casa; él quedó en la quiebra por la enfermedad de su esposa. 2. quedar desamparado Ni kandoo ndá'a ná, ko íin ta'on ku'u ini sa'a ná. Quedó desamparado, no hay quien lo ame. Comp. de kandoo na, ndá'a",kándoo ndá'a ná,ni kandoo ndá'a ná,
868,kandoo nda'í na,v.i.,1. quedar abandonado,"Ni kandoo nda'í vá takuálí ñóó, ni xi'i va na ve'e xi. Esos niños quedaron abandonados porque murieron sus padres. 2. quedar pobre, quedar triste Comp. de kandoo na, nda'í",kándoo nda'í na,ni kandoo nda'í na,
869,kandoo ndava'a ña,yv.i.,quedar abandonado,"Ni kandoo ndava'a ña'a na, chi kua'an na norte. Sus bienes quedaron abandonados porque se fueron al norte. Comp. de kandoo na, ndava'a",kándoo ndava'a ña,ni kandoo ndava'a ña,
870,chindu'u ná,v.t.,NA,NA,"poner, tender (en el suelo, complemento singular)",NA,establecer (fig.)
871,kandu'u díin ná,v.i.,"estar acostado (de lado, sujeto singular)","Comp. de kandu'u ná, díin",kándu'u díin ná,ni sa ndú'u díin ná; suj. pl kandei díin ná,
872,kandu'u káni ná,v.i.,"estar acostado (a lo largo, sujeto singular)","Comp. de kandu'u ná, káni,",kándu'u káni ná,ni sandú'u káni ná; suj. pl. kandei káni ná,
873,kandu'u ndéi na,v.i.,"estar acostado (boca abajo, sujeto singular)","Comp. de kandu'u ná, ndei",kándu'u ndéi na,ni sa ndú'u ndéi na; suj. pl. kandei ndéi na,
874,4 kuió né'le na,v.t.,NA,NA,hacer que vuelva,NA,voltear
876,nandió né'e na,v.t.,NA,NA,NA,NA,voltear
877,ndane'e na,v.t.,NA,NA,NA,NA,"levantar, alzar"
878,kane'e na tandíni,v.t.,1. tener interés,"Nákani ndava'o ini na sa'á de'e na. Né!e ndava'o na tandíni, dá chi ko ta'ón to'on de'e na. ¿Á ña takí xi? ¿Á ña ni xi'i xi? Está muy preocupada por su hijo. Ella tiene mucho interés por saber de su hijo, si es que está vivo o si está muerto. 2. mostrar interés Kúú ná iin ñayuu ndísá'ano, dá chi ni sa ne'e na tandíni sa'a choon sa ndido na kuia ao. Él es una persona seria porque mostró interés por el cargo que tuvo el año pasado. Comp. de kane'e nay, tandíni",né'e na tandíni,NA,pas. ni sa ne'e na tandínil
879,kane'e ndaa na,v.t.,abra2ar (a un bebé),"Kane'e ndaa taleé xaan, chi ndéí'i ndava'o xi. Abraza a ese bebé porque está llorando mucho.  Comp. de kane'e na», ndaa",néte ndaa na,ni sa ne'e ndaa na,
882,kani na;,v.t.,"1. pegar, golpear (a una persona o animal)","Káni na ká'a vúrro na xí'ín yíto dá xíka ni'i rí kua'an ri. Él le está pegando a su burro con una vara para que camine recio.  2. poner (inyección) Ni kani na íon di'indi de'e na, chi dáa nda'o xi. Ellos le pusieron una inyección a su hijo porque tiene mucha calentura.  3. clavar Káni na nduyo ndika ve'e, chirkuei na ña'a na. Ellos clavan clavos en la pared para colgar sus cosas.",káni na,ni kani na,Véase ñani ña
883,kani fia,v.i.,NA,NA,NA,NA,deber (hacer algo) Ko
884,kukaní ñá,v.i.,NA,NA,NA,NA,ponerse baboso
885,kandu'u káni ná,v.i.,NA,NA,NA,NA,"estar acostado (a lo largo, sujeto singular)"
886,kukáni ñá,v.i.,NA,NA,NA,NA,"alargarse, extenderse (de largura, sujeto singular)"
887,ndukáni ñá,v.i.,NA,NA,NA,NA,alargarse (sujeto singular)
888,kani chíin ná,v.t.,"1. rasguñar, pellizcar","Ni kani chíin xí ku'u xi, dá chi ko kóni xi nakoo xi. Ella pellizcó a su hermana porque no quiso levantarse de la cama.  2. clavar (la uña) Káni chíin ná sata sandiá, dá kandaa ini na ña ni kuu rí, dá dá sa'ándá na tindú'u ri. Él clava la uña en la sandía para saber si ya está madura, entonces la corta. Deriv. de chíin",káni chíin ná,ni kani chíin ná,
889,kani choon noo ná,y.t.,"tocar, corresponder (a alguien su turno o un cargo)","Ni kani choon noo ná ña ko'on na xí'íín yúku kuu víti. A él le tocó ir hoy conmigo al monte.  Comp. de choon, noo;",káni choon noo ná,ni kani choon noo ná,Sinón. ka'an choon noo ná
890,kani'ino na,yv.t.,1. tener puesto (vestido o camisa),Ní'ino xi do'ono xí. Tiene puesto su vestido. 2. tener puesto (ropa) Ní'ino xi dá'on ló'o ña ni xi'o ku'u ló'o xi noo Kí. Tiene puesta la ropa que le dio su hermana.,nítino na,ni sa ni'ino na,"Véase dákui'ino na, nakui'ino na"
891,kani na íon,y.t.,"poner (inyección), inyectar","Comp. de kani na, íon",káni na íon,ni kani na íon,Véase ñani
892,kani na seriyó,v.t.,NA,encender (con cerillo),káni na seriyó,ni kani na seriyó,
893,kanina vaa na,v.i.,"hacer ruido, alborotarse","Ni ndoto taleé, chi nína vaa ndava'o takuáchí. El bebé se despertó porque los niños hacen mucho ruido. Deriv. de vaa","ní'ini vaa na, níni vaa na, nína vaa na",ni sa nina vaa na,"Var. kani'ini vaa na, kanini vaa na Sinón. nakuina vaa na"
895,kankuei xoo na,v.i.,"1. salir (aparte), apartarse (sujeto plural)","Ni kankuei xoo na ñoo Tiyoó tein dao ka ñoo. La gente de San Andrés Yutatío se apartó de la reunión de los demás pueblos. 2. separarse (del grupo, sujeto plural) Ko ní náta'an ini dao na ñoo Tiyoó ña ndátó'ón ná, sa'á ñoó ni kankuei xoo na. No están de acuerdo algunas personas de Yutatío con la plática, por eso se separaron de los demás paisanos. Comp. de kana kuei na, koo",kánkuei xoo na,ni kankuei xoo na,Véase kana xoo na
896,kanóo na,yv.i.,"1. estar puesto (encima, sujeto singular)","Kánóo tuti noo mesá. El papel está puesto en la mesa.  2. estar montado (a un animal, sujeto singular) Kátoó nda'o tayií káa kanóo xi kuéi. A ese niño le gusta mucho estar montado en los caballos.",kánóo na,hab. sá nóo na;  ni sa nóo na,"Var. konóo na Véase kodó ná, kandodó ná"
897,kanóo ndachí ná,y.i.,"flotar (sobre el agua, sujeto singular)","Kánóo ndachí iin ndá'a yíto noó takuií. Una hoja de árbol está flotando en el agua. kanoo nda'í na  Comp. de kanóo na, ndachí ña",kánóo ndachí ná,ni sa nóo ndachí ná,Var. kanóo tachí ná Véase kandodó ndachí ná
898,kanoo ndita na,v.i.,andar (sin comer),"Ni kuee na yúku, sa'á ñoó ni xionoo ndita na. Él tardó mucho en el monte, por eso anduvo sin comer. Comp. de kanoo na, ndita",xíonoo ndita na,ni xionoo ndita na,
899,kanóo ni'ini ña,v.i.,estar puesto (sobre algo con descuido),"Kánóo ni'ini mvélo ná noo títo káa. Su sombrero está puesto con descuido sobre esa leña.  Comp. de kanóo na, ni'ini",kánóo ni'ini ña,ni sa nóo ni'ini ña,
900,kañá ña,yv.i.,"haber ruido, haber sonido (de crujir)","Kañá nda'o tein ndayo'o, chi ñó'o chee seí rián. Hay mucho ruido entre el zacate porque los toros se lo están comiendo.",kañá ra,ni kañá ra,
901,kaño'o na;,y.t.,ponerse (un sombrero),Kaño'o mvélon. Ponte tu sombrero.,ñó!o na,;  ni sa ño'o na,
902,kaño'o na»,v.i.,"1. estar, haber (adentro, sujeto plural)","Ini tindo'o ñó'o yúsa xí'i na. En el jarrito está el atole que toman.  2. estar puesto (lente, anillo, collar) Ñó'o uu dé'e ndá'í. Tengo (lit. están puestos) dos anillos en mi mano.",ñó'o na»,ni sa ño'o na,Véase kakaa na
903,kañó'ó ná,y.t.,NA,NA,NA,NA,"despreciar, no querer"
904,kaño'o do'o na,y.t.,"prestar oído, estar atento","Ñó'o do'i kítií chi yu'íi saa ndigiie'í keí ñaá rí. En la noche estoy atento de lo que pasa con mis chivos, porque tengo miedo de que un coyote los ataque. Comp. de kaño'o na», do'o",ñó!o do'o na,ni sa ño'o do'o na,
